File,compression_ratio mixture 0.1,compression_ratio mixture 1,compression_ratio mixture 2,compression_ratio mixture 5,compression_ratio vocals 0.1,compression_ratio vocals 1,compression_ratio vocals 2,compression_ratio vocals 5,compression_ratio drums 0.1,compression_ratio drums 1,compression_ratio drums 2,compression_ratio drums 5,compression_ratio repet-fg 0.1,compression_ratio repet-fg 1,compression_ratio repet-fg 2,compression_ratio repet-fg 5,compression_ratio repet-bg 0.1,compression_ratio repet-bg 1,compression_ratio repet-bg 2,compression_ratio repet-bg 5,compression_ratio sum 0.1,compression_ratio sum 1,compression_ratio sum 2,compression_ratio sum 5,peaq mixture 0.1,peaq mixture 1,peaq mixture 2,peaq mixture 5,peaq vocals 0.1,peaq vocals 1,peaq vocals 2,peaq vocals 5,peaq drums 0.1,peaq drums 1,peaq drums 2,peaq drums 5,peaq repet-fg 0.1,peaq repet-fg 1,peaq repet-fg 2,peaq repet-fg 5,peaq repet-bg 0.1,peaq repet-bg 1,peaq repet-bg 2,peaq repet-bg 5,peaq sum 0.1,peaq sum 1,peaq sum 2,peaq sum 5,desirability mixture 0.1,desirability mixture 1,desirability mixture 2,desirability mixture 5,desirability vocals 0.1,desirability vocals 1,desirability vocals 2,desirability vocals 5,desirability drums 0.1,desirability drums 1,desirability drums 2,desirability drums 5,desirability repet-fg 0.1,desirability repet-fg 1,desirability repet-fg 2,desirability repet-fg 5,desirability repet-bg 0.1,desirability repet-bg 1,desirability repet-bg 2,desirability repet-bg 5,desirability sum 0.1,desirability sum 1,desirability sum 2,desirability sum 5,p-ratio mixture 0.1,p-ratio mixture 1,p-ratio mixture 2,p-ratio mixture 5,p-ratio vocals 0.1,p-ratio vocals 1,p-ratio vocals 2,p-ratio vocals 5,p-ratio drums 0.1,p-ratio drums 1,p-ratio drums 2,p-ratio drums 5,p-ratio repet-fg 0.1,p-ratio repet-fg 1,p-ratio repet-fg 2,p-ratio repet-fg 5,p-ratio repet-bg 0.1,p-ratio repet-bg 1,p-ratio repet-bg 2,p-ratio repet-bg 5,p-ratio sum 0.1,p-ratio sum 1,p-ratio sum 2,p-ratio sum 5,q-25 mixture 0.1,q-25 mixture 1,q-25 mixture 2,q-25 mixture 5,q-25 vocals 0.1,q-25 vocals 1,q-25 vocals 2,q-25 vocals 5,q-25 drums 0.1,q-25 drums 1,q-25 drums 2,q-25 drums 5,q-25 repet-fg 0.1,q-25 repet-fg 1,q-25 repet-fg 2,q-25 repet-fg 5,q-25 repet-bg 0.1,q-25 repet-bg 1,q-25 repet-bg 2,q-25 repet-bg 5,q-25 sum 0.1,q-25 sum 1,q-25 sum 2,q-25 sum 5,q-50 mixture 0.1,q-50 mixture 1,q-50 mixture 2,q-50 mixture 5,q-50 vocals 0.1,q-50 vocals 1,q-50 vocals 2,q-50 vocals 5,q-50 drums 0.1,q-50 drums 1,q-50 drums 2,q-50 drums 5,q-50 repet-fg 0.1,q-50 repet-fg 1,q-50 repet-fg 2,q-50 repet-fg 5,q-50 repet-bg 0.1,q-50 repet-bg 1,q-50 repet-bg 2,q-50 repet-bg 5,q-50 sum 0.1,q-50 sum 1,q-50 sum 2,q-50 sum 5,q-75 mixture 0.1,q-75 mixture 1,q-75 mixture 2,q-75 mixture 5,q-75 vocals 0.1,q-75 vocals 1,q-75 vocals 2,q-75 vocals 5,q-75 drums 0.1,q-75 drums 1,q-75 drums 2,q-75 drums 5,q-75 repet-fg 0.1,q-75 repet-fg 1,q-75 repet-fg 2,q-75 repet-fg 5,q-75 repet-bg 0.1,q-75 repet-bg 1,q-75 repet-bg 2,q-75 repet-bg 5,q-75 sum 0.1,q-75 sum 1,q-75 sum 2,q-75 sum 5
0,0.9182569838,0.8961748968,0.8934601303,0.8911411247,0.8513662325,0.8262222529,0.8221763127,0.8178917082,0.6279958251,0.5372871145,0.5129183108,0.5234159178,0.8621978408,0.8024728974,0.7934528512,0.7847308939,0.9008822367,0.875845189,0.8726982661,0.8697947583,0.8976909065,0.8851723826,0.8835989212,0.8821471673,0.1506007017,0.1334990603,0.1292493148,0.1271306795,0.1100488931,0.0597168027,0.0415511133,0.0198779435,-0.342180764,-0.613572741,-0.532691283,-0.182020653,0.056838799,-0.087014236,-0.112888821,-0.184566367,0.1440269445,0.120356074,0.1149482759,0.1090304356,0.1478631901,0.1305404293,0.1269999791,0.121811512,0.041001785,0.0372413523,0.036165384,0.0356651365,0.0323153799,0.0180692309,0.0126344899,0.0060759705,-0.136219362,-0.285495746,-0.259637486,-0.086938822,0.0164807879,-0.027108154,-0.03556885,-0.058799255,0.0399683051,0.0343542659,0.032928986,0.0313379779,0.041178759,0.0368686461,0.0359325866,0.0345213125,0.7496908236,0.9765850441,0.988210075,0.9952180724,0.6927199274,0.9025476132,0.9131832797,0.9195317009,0.596586693,0.7768158958,0.7859675159,0.7916563608,0.744661555,0.9699892819,0.9815318658,0.9884574161,0.7499381647,0.9765850441,0.988210075,0.9952180724,0.7499381647,0.9765850441,0.988210075,0.9952180724,10,2,2,2,10,2,2,2.2,10,3,3,2.2,10,1,1.5,1.6,10,2,2,2,10,2,2,2,10,6,6,6.2,10,7,6.5,6.8,10,9,6.5,6,10,5,6,5.8,10,6,6.5,6.6,10,6,6.5,6.6,20,14,14,13.8,20,14,15,14.8,10,15,14,12.8,10,13,13.5,13.8,20,15,15,14.6,20,15,15,14.6
1,0.8706726289,0.8257582283,0.8209205965,0.8158803957,0.7726137627,0.6905880563,0.6823661659,0.6733277188,0.5905675003,0.4895744734,0.4785415388,0.4670065679,0.7580033711,0.6787688707,0.6697920318,0.6609752942,0.8395747924,0.7840270127,0.7777951237,0.7713779121,0.8281084079,0.800334518,0.7972185736,0.7940099678,-0.00834329,-0.272695312,-0.638430851,-0.843352107,-0.179291244,-0.943734238,-1.416116485,-1.791817972,-0.555283261,-1.628035703,-2.075997665,-1.249728187,-0.091124543,-0.736460166,-0.418825743,-0.962894593,-0.040923589,-0.410080737,-0.868299714,-1.02165562,-0.016812888,-0.317192344,-0.707205829,-0.838389301,-0.002395645,-0.082559066,-0.194425275,-0.258417812,-0.058014513,-0.341641529,-0.518825726,-0.665284498,-0.235063418,-0.831352425,-1.084544129,-0.669009963,-0.030054135,-0.271248505,-0.156326786,-0.364194623,-0.012185808,-0.130761036,-0.279090112,-0.331113843,-0.00507569,-0.099081177,-0.221772878,-0.263973166,0.7422680412,0.9666224354,0.9781565785,0.9849954068,0.7226702052,0.9412064918,0.9524344187,0.9591711748,0.6147800347,0.8006532612,0.8102480351,0.8159640706,0.7128712871,0.928549556,0.9395733388,0.9462080229,0.7421659692,0.9665203634,0.9780545065,0.9848933347,0.7421659692,0.9665203634,0.9780545065,0.9848933347,10,2,1.5,1.4,10,1,1,1,10,1,1.5,1.8,10,1,0.5,1,10,2,1.5,1.2,10,2,1.5,1.2,10,5,5,5.2,10,5,4.5,5,10,5,5,6,10,4,4,5.2,10,6,5,5.2,10,6,5,5.2,20,13,13,13.8,20,12,13,13.8,10,14,13,14.8,10,12,12,13.6,20,13,13.5,14,20,13,13.5,14
2,0.8974010485,0.8581525873,0.8541537839,0.8504768032,0.6204179571,0.5785291562,0.5731314033,0.5689551846,0.7133645443,0.6825919116,0.6789997705,0.6754059532,0.8177685918,0.7482814196,0.7387012592,0.7302316196,0.8738794866,0.8310201887,0.8264571638,0.822243296,0.8540399339,0.8326102849,0.8303287725,0.8282218386,0.1503307149,0.139005457,0.1368782603,0.134942273,0.0327138786,-0.020579981,-0.046237235,0.0100903828,0.0748261219,-0.024972109,-0.051074075,-0.108848667,0.0204457373,-0.227022586,-0.280427729,-0.282752391,0.1422907614,0.1254032171,0.1184013087,0.1171691394,0.1465626166,0.1352571652,0.1311933124,0.1316147694,0.0418794683,0.0404955538,0.0400625341,0.039666653,0.0131821936,-0.008893234,-0.020168688,0.0044337336,0.0262229608,-0.009146061,-0.018804894,-0.04029009,0.0062504655,-0.075847996,-0.094905662,-0.096802297,0.0407066316,0.0377256831,0.0358159242,0.0356248388,0.0429027411,0.0406123872,0.0395004114,0.0397281149,0.7497029703,0.976369637,0.9879867987,0.9949834983,0.5322772277,0.6933333333,0.7017821782,0.7064026403,0.5886468647,0.7666006601,0.775709571,0.7811221122,0.7258085809,0.944950495,0.9561716172,0.9629042904,0.7497029703,0.976369637,0.9879867987,0.9949834983,0.7497029703,0.976369637,0.9879867987,0.9949834983,10,2,2,2,10,2,1.5,1.4,10,3,3,2.4,10,1,1.5,2,10,2,2.5,2.2,10,2,2.5,2.2,10,7,6.5,6.6,10,5,5.5,6,10,8,7.5,7.2,10,6,5.5,6.4,10,7,7,6.6,10,7,7,6.6,20,15,14.5,14.6,20,13,15,13.6,10,16,15,15.6,10,13,13.5,13.8,20,15,14.5,14.8,20,15,14.5,14.8
3,0.8841468262,0.8628151458,0.8608365898,0.8587628845,0.6970384919,0.6754841785,0.673281358,0.6700117976,0.7136948056,0.6411576144,0.6331004809,0.626081535,0.7942468583,0.7353278044,0.7280662019,0.7213338904,0.8598449757,0.8359246863,0.833715562,0.831221954,0.8315698087,0.819609664,0.8185051019,0.8172582979,0.1681228431,0.1655174342,0.1648419696,0.1631442814,0.1102847959,0.0315789939,-0.006111519,0.0156546309,0.1532830296,0.1374811759,0.1343184978,0.1217149399,0.1579468987,0.1416162708,0.1377575221,0.1282862052,0.1564753235,0.1505918561,0.1488787416,0.1461348776,0.1672591594,0.165018193,0.1640409543,0.1635018459,0.0475381571,0.0479585445,0.0478726077,0.0474939836,0.0395547725,0.0116875402,-0.002269303,0.0058411773,0.0536934795,0.0536066221,0.0530399604,0.0486018726,0.0497159344,0.0481473262,0.0473025398,0.0444614508,0.0454952137,0.0450375071,0.0446431458,0.0439518221,0.0502841606,0.0503343848,0.0501038277,0.050015352,0.7219226972,0.9406181183,0.9517806971,0.9585389931,0.5696711975,0.7420457134,0.750854279,0.7562457286,0.6557825196,0.8539752449,0.8641506568,0.8702255297,0.7014959374,0.9135849343,0.9245197054,0.9310501936,0.7217708254,0.940010631,0.9511732098,0.9579315058,0.7217708254,0.940010631,0.9511732098,0.9579315058,10,2,2,1.8,10,2,1.5,1.4,10,2,2,1.8,10,1,0.5,1.2,10,3,2,1.8,10,3,2,1.8,10,6,6,5.4,10,6,5,5.4,10,7,6,5.4,10,5,5,5.2,10,7,6.5,5.8,10,7,6.5,5.8,20,14,13.5,12.8,20,14,13,14.2,10,14,13.5,12.8,10,13,13,13.4,20,15,14,13.8,20,15,14,13.8
4,0.9302292762,0.9223520203,0.9214872986,0.9208832261,0.8791205734,0.8630411832,0.8611361269,0.8596293378,0.9169270142,0.8963964616,0.8896731856,0.8841517224,0.8957727131,0.8587384947,0.8540154883,0.8492456669,0.9115115068,0.9022502665,0.9013568226,0.9006114002,0.8992395153,0.8946088952,0.8941621733,0.893789462,0.1575645075,0.1471225344,0.1346973479,0.1348368748,0.0989261501,0.0902058237,0.0900886895,0.0747451344,0.0582644259,-0.462758668,-1.08855765,-1.108988953,0.0730215943,-0.128791372,-0.193503685,-0.233549981,0.1550420254,0.1475592265,0.1367804119,0.136296338,0.1560821223,0.1493610154,0.1387101666,0.1374582918,0.0423456108,0.0398770023,0.036543463,0.036605313,0.0281321337,0.0261302199,0.026154021,0.0217376057,0.0158857862,-0.129060825,-0.305886945,-0.313574278,0.0203794984,-0.037494352,-0.056645251,-0.068752185,0.0425233319,0.0408864458,0.0379373652,0.0378343917,0.0433928113,0.0417391936,0.0387821613,0.0384481742,0.7430820887,0.9687391455,0.9803172398,0.9872640963,0.7037165683,0.9168692833,0.9278684728,0.9342364247,0.7389139748,0.9631816603,0.9746439736,0.9815908301,0.7406506889,0.9648025935,0.9762649068,0.9832117633,0.7440083362,0.9689707074,0.9804330207,0.9873798773,0.7440083362,0.9689707074,0.9804330207,0.9873798773,10,2,2,2.2,10,2,1.5,1.8,10,2,2.5,2.4,10,1,1.5,1.6,10,3,2.5,2.2,10,3,2.5,2.2,10,7,6.5,6,10,6,5.5,6.2,10,7,8,6.8,10,6,6,5.6,10,7,7,6.4,10,7,7,6.4,20,15,14,13.6,20,13,13.5,14.4,10,17,15.5,13.6,10,14,14,13.6,20,15,14.5,13.6,20,15,14.5,13.6
5,0.8808159529,0.8658489801,0.8647579836,0.8636234748,0.7651244145,0.7145760444,0.7100063905,0.7059432189,0.857107374,0.8420451094,0.823502592,0.8079503798,0.8552143021,0.819991373,0.815814997,0.8115294054,0.8657665244,0.8501661587,0.8488928459,0.847579647,0.8510083378,0.8432081549,0.8425714986,0.8419148991,0.1686249233,0.1674335564,0.1670093716,0.1646997008,0.0127937294,-0.723302846,-1.748567011,-1.88710388,0.1681620533,0.1663224926,0.1661307149,0.1655248404,0.1419435168,0.1247959466,0.1200328628,0.0905064262,0.1647156741,0.1620909107,0.1613393772,0.1598907096,0.1677523705,0.1665820706,0.1661052445,0.1653919543,0.0478604307,0.0483437528,0.0482821133,0.0476769407,0.0041802775,-0.25305314,-0.615687068,-0.668291666,0.049049296,0.0493805174,0.0504341809,0.0512175143,0.0414935521,0.038047945,0.0367831136,0.0278814377,0.0475635375,0.0476644798,0.0475146475,0.0471609689,0.0492804721,0.0493893678,0.0492852075,0.0491118385,0.7191653672,0.9365857281,0.9477240662,0.9544070691,0.6774337269,0.8823048934,0.8928491869,0.8990866563,0.7014925373,0.9136407515,0.9244820673,0.931016559,0.7123338531,0.9275265464,0.9385906289,0.9452736318,0.7189426004,0.9363629613,0.9475012995,0.9541843024,0.7189426004,0.9363629613,0.9475012995,0.9541843024,10,2,2.5,2.2,10,1,1,0.6,10,2,2.5,2.4,10,1,2,2.2,10,3,2.5,2,10,3,2.5,2,10,7,6.5,5.8,10,4,3,4,10,7,7,6.6,10,7,6.5,5.8,10,7,6.5,6.2,10,7,6.5,6.2,20,14,14,13.6,20,10,10,14.6,20,15,14.5,15,10,14,14,14,20,14,14,14.4,20,14,14,14.4
6,0.896396921,0.8781641772,0.8765524519,0.8751425117,0.3881639201,0.3659542451,0.3637857913,0.3613891485,0.8725099367,0.8574301813,0.8554229387,0.8536026144,0.8515557272,0.8082382197,0.8025487482,0.796624506,0.8810189015,0.8601854069,0.8582399542,0.8567017109,0.869151253,0.8587345057,0.8577617793,0.8569926577,0.0972399619,-0.012344242,-0.025832752,-0.0289452,-0.021282577,-0.511545501,-0.529655458,-1.342221505,0.0190880775,-0.249744282,-0.543373265,-0.643295839,0.0646252907,-0.406427853,-0.520404873,-0.681247663,0.0935908252,-0.010382098,-0.027811486,-0.018633987,0.0947373255,-0.011791436,-0.027838753,-0.016687644,0.027119672,-0.003514218,-0.007367714,-0.00826871,-0.01370721,-0.349460013,-0.363988555,-0.928515362,0.0054693009,-0.072817673,-0.158802517,-0.188406124,0.0189727133,-0.125714128,-0.162110051,-0.213791961,0.0265575532,-0.003017401,-0.008101314,-0.005437711,0.0272499537,-0.003432794,-0.008113777,-0.004868083,0.7311504004,0.9523507492,0.9636882581,0.9704273369,0.3268056767,0.4259097756,0.4308253389,0.4338381035,0.704907635,0.9180210894,0.9289621819,0.9354634108,0.7206057243,0.9387140252,0.9498929676,0.9566320463,0.7312296837,0.9523507492,0.9636882581,0.9704273369,0.7312296837,0.9523507492,0.9636882581,0.9704273369,10,2,2,1.8,10,1,1,1.2,10,2,2,2,10,1,1,1.4,10,2,2,2,10,2,2,2,10,6,6,5.6,10,5,5,4.8,10,7,6.5,5.8,10,5,5.5,5.4,10,7,6.5,6.2,10,7,6.5,6.2,20,14,13.5,13.2,20,12,13,12.6,20,15,13.5,14.4,10,13,13,13.6,20,15,14,14.2,20,15,14,14.2
7,0.8980994134,0.8713417573,0.8692860613,0.8678213879,0.5267269287,0.5083280894,0.5062200608,0.5044569154,0.8340881288,0.8182751934,0.8167282602,0.8154773984,0.8480393349,0.7905177761,0.7860034069,0.7809578695,0.8851012372,0.8576995858,0.8555721925,0.8539641245,0.8536053979,0.8399045722,0.8388408755,0.8380368415,0.1684962212,0.1673437983,0.1666698158,0.1664614107,0.1235044754,0.0872654051,0.0832841397,0.1178283662,0.1670049856,0.1631127208,0.163190668,0.1577875118,0.1411569398,0.0936982015,0.0922964306,0.0705586642,0.1637248461,0.1616802044,0.16104515,0.160071838,0.1670055282,0.1657307521,0.165642738,0.1652702309,0.0469035551,0.0480132499,0.0479329599,0.0479538224,0.0586188349,0.0429178551,0.0411304027,0.0583936718,0.0500561571,0.0498343107,0.0499525595,0.0483727422,0.0416127336,0.0296319085,0.0293562438,0.0225872185,0.0462446665,0.0471261171,0.0470577327,0.0468614059,0.0489118065,0.0493302328,0.0493665553,0.049302794,0.7479927904,0.9742749467,0.9859085696,0.9927904309,0.4312633131,0.5616909717,0.5684089792,0.5723414714,0.6780271997,0.8830083565,0.8936588563,0.9000491562,0.7414386367,0.9655906931,0.9772243159,0.9841061773,0.7479927904,0.9742749467,0.9859085696,0.9927904309,0.7479927904,0.9742749467,0.9859085696,0.9927904309,10,2,2,1.4,10,2,2,2,10,2,1.5,1.6,10,1,1,1,10,3,2,1.6,10,3,2,1.6,10,6,5.5,4.8,10,6,6,6,10,6,5.5,5.4,10,5,4.5,4.4,10,6,6,5.4,10,6,6,5.4,20,13,13,12.2,20,14,13.5,13.8,20,13,13,12.6,10,11,12,12.4,20,13,14,12.6,20,13,14,12.6
8,0.922990345,0.9091873874,0.9078578761,0.9068299412,0.8028333031,0.7270699703,0.7219812949,0.7153225037,0.9142895699,0.8938140613,0.8919002064,0.8899614831,0.904436013,0.8797222771,0.8761903367,0.8721265666,0.9097488824,0.8941785029,0.8928599741,0.891595979,0.9063231692,0.8985379794,0.897878715,0.8972467175,0.1670230542,0.1656342332,0.1656617853,0.1646649634,0.0911960236,0.0567085056,0.0477254117,0.0754071532,0.1470500021,0.1320838598,0.1279740263,0.0988278045,0.1316699084,0.0999609268,0.08848875,0.0676597986,0.1639199206,0.161517973,0.1608100085,0.1591545037,0.1660442571,0.1642943586,0.1640338553,0.1630142361,0.0452396537,0.0455445807,0.0456188655,0.0453957671,0.0283981816,0.0194989849,0.0165258477,0.0263542503,0.0402088154,0.0369438862,0.035871173,0.0277618207,0.0363955842,0.0284069556,0.0252481528,0.0193950629,0.0450453756,0.0451582018,0.0450266596,0.0446262958,0.0458016143,0.0457115788,0.0456726094,0.0454206833,0.7492568179,0.9764766705,0.9881090862,0.9950885356,0.7497738141,0.9764766705,0.9881090862,0.9950885356,0.7497738141,0.9764766705,0.9881090862,0.9950885356,0.7316789453,0.9529533411,0.9643272586,0.9710482099,0.7497738141,0.9764766705,0.9881090862,0.9950885356,0.7497738141,0.9764766705,0.9881090862,0.9950885356,10,2,2,1.8,10,1,0.5,0.2,10,2,2,2,10,1,1.5,1.6,10,2,2,2,10,2,2,2,10,6,6,6,10,3,3.5,3.8,10,7,6,6.2,10,6,5.5,6,10,7,6.5,6.2,10,7,6.5,6.2,20,13,13.5,13.6,10,11,12,11.6,20,14,13.5,13.8,10,13,13.5,14,20,14,13.5,14.2,20,14,13.5,14.2
9,0.8750145424,0.830877772,0.8275992605,0.823888374,0.8022569395,0.7216468196,0.7160266695,0.7087532197,0.7346305731,0.6301434231,0.6232368397,0.6152024751,0.7628065269,0.7013984957,0.6945904017,0.6891813652,0.8574678374,0.811051947,0.8075268042,0.8031703452,0.8151698386,0.7919618934,0.790199322,0.7880210925,0.1350949833,0.0878192218,0.0901188493,0.0981697542,-0.114277923,-1.03600189,-1.087428381,-1.02021419,0.096949048,0.0003469759,-0.038291759,-0.032637839,-0.093875482,-0.464135497,-0.503675297,-0.201824783,0.1285497535,0.0813910797,0.0797224328,0.0836654156,0.1332038178,0.087098898,0.0865216707,0.0891788328,0.0385979252,0.0264236283,0.027222973,0.0297885482,-0.035611385,-0.35890198,-0.379674538,-0.359862277,0.0329924494,0.0001376575,-0.015360035,-0.013263048,-0.030766478,-0.165432169,-0.181285005,-0.073211782,0.037479468,0.0250881217,0.0246810485,0.0260422388,0.0408515537,0.0274946619,0.0273733691,0.0282920196,0.7489563039,0.9756934781,0.9872901011,0.994248075,0.7492346229,0.9756934781,0.9872901011,0.994248075,0.7492346229,0.9756934781,0.9872901011,0.994248075,0.682901939,0.8899712404,0.9006401336,0.9069486965,0.7492346229,0.9756934781,0.9872901011,0.994248075,0.7492346229,0.9756934781,0.9872901011,0.994248075,10,2,1.5,1.2,10,1,0.5,0.4,10,1,0.5,0.2,10,1,1.5,1.4,10,2,1.5,1.2,10,2,1.5,1.2,10,6,5,4.6,10,3,3,3,10,3,2.5,2.4,10,6,5.5,4.8,10,6,5,4.6,10,6,5,4.6,20,13,12.5,11.8,20,10,10.5,11.2,10,10,10,10.2,10,13,12.5,12.4,20,13,12.5,13.2,20,13,12.5,13.2
